PryId,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC
Y70196,,,,Enhancement,,4GL,Oracle,141,2101,1661,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70205,Communication,Telecommunications,Data or database management,Enhancement,Multi,,,56,605,496,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70225,Insurance,Insurance,Unknown,Enhancement,,,,71,470,385,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70233,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,4GL,Siebel,167,1361,1116,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70234,,,,New Development,,,,744,3439,3439,7,11,,,-1
Y70241,Wholesale & Retail,Billing,Billing,Enhancement,,3GL,C++,106,19888,19888,-1,-1,Oracle,,-1
Y70243,Communication,Communications,Telecom & network management,Enhancement,PC,3GL,Java,48,1213,1007,3,4,Oracle,,-1
Y70244,,,,Enhancement,,3GL,Java,377,8437,8437,-1,-1,,,-1
Y70245,Communication,Telecommunications,Workflow support & management,Enhancement,Multi,,,192,2594,2127,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70249,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,139,1850,1524,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70259,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Java,72,244,200,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70263,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,60,193,158,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70272,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,34,254,254,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y70277,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,28,476,400,11,17,,,-1
Y70278,,,Financial application area,Enhancement,Multi,3GL,Java,52,317,317,2,-1,Interactive,,-1
Y70281,Communication,CommunicationsTelecom & Networking,Network ManagementTelecom and Networking,Enhancement,PC,3GL,C++,455,1904,1904,6,4,Oracle,,-1
Y70286,Communication,Voice Provisioning,Voice Provisioning,Enhancement,,3GL,Java,345,20859,20859,-1,-1,,,-1
Y70289,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,206,2917,2392,7,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70295,Insurance,Insurance,Unknown,Enhancement,,,,91,466,382,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70299,Insurance,Insurance,Unknown,Enhancement,,,,120,1639,1344,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70305,Communication,Communications,Transaction/Production System,Enhancement,,4GL,NATURAL,115,1576,1308,5,9,,,-1
Y70310,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,50,680,624,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70323,Professional Services,Business Services,Management Information System,New Development,PC,3GL,Visual Basic,1750,16170,16170,26,12,,,-1
Y70329,Insurance,Insurance,Financial transaction process/accounting,Enhancement,Multi,3GL,Visual Basic,2045,3613,3360,3,-1,SYBASE,Waterfall (incl Linear Processing & SSADM),-1
Y70338,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,371,33277,33277,18,133,,,-1
Y70340,,,,Enhancement,,,,19,1081,1081,2,-1,,,-1
Y70344,,,,Enhancement,,,,721,6552,6552,6,12,,,-1
Y70357,Communication,Telecommunications,Customer relationship management,Enhancement,,,,92,1790,1643,7,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70359,Insurance,Insurance,,Enhancement,,,Mixed,64,190,175,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70364,Manufacturing,Manufacturing,Tools or system,New Development,Multi,3GL,Visual Basic,79,250,187,3,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y70365,Communication,Telecommunications,Integration,Enhancement,Multi,3GL,TIBCO,79,1220,1000,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70367,Service Industry,GovernmentCommunity Services,Catalogue/register of things or events,Enhancement,Multi,3GL,PL/I,117,3549,3549,7,10,DB2,Agile Development,-1
Y70370,Education,Education Institution,Catalogue/register of things or events,New Development,PC,4GL,ASP.Net,119,119,119,6,3,,,-1
Y70373,Insurance,Insurance,Unknown,Enhancement,,,,58,278,228,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70382,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,59,995,816,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70388,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,2048,15712,12884,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70390,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,52,1786,1472,7,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70399,,,,Enhancement,,4GL,.Net,301,1568,1240,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70400,Service Industry,Food Processing,Financial transaction process/accounting,New Development,MR,,APPS,139,1075,1000,11,-1,Oracle 8,Waterfall (incl Linear Processing & SSADM),-1
Y70410,Insurance,Insurance,Unknown,Enhancement,,,,71,312,256,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70436,Government,Government,Document managementManagement or performance reporting,Enhancement,Multi,3GL,C#,83,634,634,5,6,SQL Server,,-1
Y70438,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,PL/SQL,92,1216,997,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70446,Insurance,Insurance,,Enhancement,,3GL,Java,84,80,74,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70453,,,,Enhancement,,3GL,C,42,296,296,3,-1,,,-1
Y70455,Banking,,Security management,New Development,MR,3GL,Visual Basic,550,26520,24664,15,17,SYBASE V10,Waterfall (incl Linear Processing & SSADM),108000
Y70457,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,63,2935,2419,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70464,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Visual Basic,53,1613,1323,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70469,,,,New Development,,3GL,Java,770,16594,13308,10,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70470,Communication,Communications,relatively complex application,Enhancement,MF,3GL,,129,1809,1809,-1,-1,Batch,Waterfall (incl Linear Processing & SSADM),-1
Y70476,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,109,655,655,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y70477,Manufacturing,ManufacturingConsumer Goods,Management Information System,Re-development,MF,3GL,COBOL,13580,54620,54620,14,-1,DB2,Joint Application Development (JAD)Multifunctional Teams,-1
Y70480,Manufacturing,Manufacturing,,Enhancement,Multi,3GL,Visual Basic,566,1343,1249,4,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y70495,Manufacturing,Manufacturing,Sales contact management,New Development,Multi,3GL,Visual Basic,1510,5740,5740,11,-1,SYBASE SQL Anywhere,Waterfall (incl Linear Processing & SSADM),-1
Y70498,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,3,1449,1449,14,39,,,-1
Y70499,,,,Enhancement,,4GL,Oracle,111,1521,1521,3,-1,,,-1
Y70501,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,495,7302,6704,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70514,Communication,Telecommunications,Data Warehouse,Enhancement,,3GL,PL/SQL,388,4793,4400,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70518,Insurance,Insurance,Financial transaction process/accounting,Enhancement,Multi,3GL,Visual Basic,309,25900,25900,5,-1,DB2/400,Waterfall (incl Linear Processing & SSADM),-1
Y70522,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,174,2340,1928,11,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70524,Government,Government,Workflow support & management,Enhancement,MF,3GL,PL/I,184,2951,2951,17,6,DB2,,-1
Y70530,Communication,Communications,Transaction/Production System,Enhancement,,4GL,NATURAL,197,1049,871,2,3,,,-1
Y70531,,,,Enhancement,,,IIS,8,45,45,2,-1,,,-1
Y70540,Communication,Telecommunications,Stock control & order processing,Enhancement,,3GL,J2EE,103,1063,976,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70541,,Maintenance,Maintenance,Enhancement,,3GL,C,108,7597,7597,-1,-1,,,-1
Y70548,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,27,948,948,8,32,,,-1
Y70559,,,,Enhancement,,3GL,Java,174,3905,3088,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70561,Communication,Telecommunications,GEO Information Management,Enhancement,Multi,,,58,1532,1256,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70572,Insurance,Insurance,Unknown,Enhancement,,3GL,Visual Basic,161,978,802,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70586,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,51,834,684,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70590,Communication,Telecommunications,Integration,Enhancement,Multi,3GL,TIBCO,66,859,704,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70593,Government,GovernmentDefence,Financial transaction process/accounting,Enhancement,MF,3GL,COBOL,23,338,338,18,-1,,,-1
Y70597,,,,New Development,,3GL,COBOL,781,45778,42574,32,309,,,83000
Y70603,Communication,Communications,Transaction/Production System,Enhancement,MR,4GL,SQL,212,2325,1930,4,8,Oracle,,-1
Y70604,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,7,2447,2447,11,47,,,-1
Y70608,Government,Government,Management of Licences and Permits,Enhancement,MF,ApG,COOL:Gen,288,2677,2436,16,-1,,,-1
Y70609,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,36,288,288,2,-1,"IMS/DB,DC",Waterfall (incl Linear Processing & SSADM),-1
